,Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Original_medal,Gold,Silver,Bronze,Athlete_Team,Original_gold_winner,New_medal
2,Athens (1896),1896,Athletics,Athletics,Thomas Burke,USA,Men,100m men,Gold,1,0,0,Thomas Burke (USA),Thomas Burke (USA),Gold
4,Athens (1896),1896,Athletics,Athletics,Thomas Curtis,USA,Men,110m hurdles men,Gold,1,0,0,Thomas Curtis (USA),Thomas Curtis (USA),Gold
7,Athens (1896),1896,Athletics,Athletics,Edwin Flack,AUS,Men,1500m men,Gold,1,0,0,Edwin Flack (AUS),Edwin Flack (AUS),Gold
10,Athens (1896),1896,Athletics,Athletics,Thomas Burke,USA,Men,400m men,Gold,1,0,0,Thomas Burke (USA),Thomas Burke (USA),Gold
13,Athens (1896),1896,Athletics,Athletics,Edwin Flack,ZZX,Men,800m men,Gold,1,0,0,Edwin Flack (ZZX),Edwin Flack (ZZX),Gold
16,Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,discus throw men,Gold,1,0,0,Robert Garrett (USA),Robert Garrett (USA),Gold
18,Athens (1896),1896,Athletics,Athletics,Ellery Clark,USA,Men,high jump men,Gold,1,0,0,Ellery Clark (USA),Ellery Clark (USA),Gold
22,Athens (1896),1896,Athletics,Athletics,Ellery Clark,USA,Men,long jump men,Gold,1,0,0,Ellery Clark (USA),Ellery Clark (USA),Gold
25,Athens (1896),1896,Athletics,Athletics,Spyridon Louis,GRE,Men,marathon men,Gold,1,0,0,Spyridon Louis (GRE),Spyridon Louis (GRE),Gold
29,Athens (1896),1896,Athletics,Athletics,William Welles Hoyt,USA,Men,pole vault men,Gold,1,0,0,William Welles Hoyt (USA),William Welles Hoyt (USA),Gold
32,Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,shot put men,Gold,1,0,0,Robert Garrett (USA),Robert Garrett (USA),Gold
35,Athens (1896),1896,Athletics,Athletics,James Connolly,USA,Men,triple jump men,Gold,1,0,0,James Connolly (USA),James Connolly (USA),Gold
38,Paris (1900),1900,Athletics,Athletics,Francis Jarvis,USA,Men,100m men,Gold,1,0,0,Francis Jarvis (USA),Francis Jarvis (USA),Gold
41,Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,USA,Men,110m hurdles men,Gold,1,0,0,Alvin Kraenzlein (USA),Alvin Kraenzlein (USA),Gold
44,Paris (1900),1900,Athletics,Athletics,Charles Bennett,GBR,Men,1500m men,Gold,1,0,0,Charles Bennett (GBR),Charles Bennett (GBR),Gold
47,Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,200m men,Gold,1,0,0,Walter B. John Tewksbury (USA),Walter B. John Tewksbury (USA),Gold
50,Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,USA,Men,200m hurdles men,Gold,1,0,0,Alvin Kraenzlein (USA),Alvin Kraenzlein (USA),Gold
53,Paris (1900),1900,Athletics,Athletics,George Orton,CAN,Men,3000m steeplechase men,Gold,1,0,0,George Orton (CAN),George Orton (CAN),Gold
56,Paris (1900),1900,Athletics,Athletics,John Rimmer,ZZX,Men,4000m steeplechase men,Gold,1,0,0,John Rimmer (ZZX),John Rimmer (ZZX),Gold
59,Paris (1900),1900,Athletics,Athletics,Maxwell W.Maxey Long,USA,Men,400m men,Gold,1,0,0,Maxwell W.Maxey Long (USA),Maxwell W.Maxey Long (USA),Gold
62,Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,400m hurdles men,Gold,1,0,0,Walter B. John Tewksbury (USA),Walter B. John Tewksbury (USA),Gold
64,Paris (1900),1900,Athletics,Athletics,Charles Bennett,ZZX,Men,5000m team men,Gold,1,0,0,Charles Bennett (ZZX),Charles Bennett (ZZX),Gold
65,Paris (1900),1900,Athletics,Athletics,Charles Bennett,ZZX,Men,5000m team men,Gold,1,0,0,Charles Bennett (ZZX),John Rimmer (ZZX),Gold
66,Paris (1900),1900,Athletics,Athletics,Charles Bennett,ZZX,Men,5000m team men,Gold,1,0,0,Charles Bennett (ZZX),Sidney Robinson (ZZX),Gold
67,Paris (1900),1900,Athletics,Athletics,Charles Bennett,ZZX,Men,5000m team men,Gold,1,0,0,Charles Bennett (ZZX),Stanley Rowley (AUS),Gold
68,Paris (1900),1900,Athletics,Athletics,Charles Bennett,ZZX,Men,5000m team men,Gold,1,0,0,Charles Bennett (ZZX),Alfred Tysoe (GBR),Gold
69,Paris (1900),1900,Athletics,Athletics,John Rimmer,ZZX,Men,5000m team men,Gold,1,0,0,John Rimmer (ZZX),Charles Bennett (ZZX),Gold
70,Paris (1900),1900,Athletics,Athletics,John Rimmer,ZZX,Men,5000m team men,Gold,1,0,0,John Rimmer (ZZX),John Rimmer (ZZX),Gold
71,Paris (1900),1900,Athletics,Athletics,John Rimmer,ZZX,Men,5000m team men,Gold,1,0,0,John Rimmer (ZZX),Sidney Robinson (ZZX),Gold
72,Paris (1900),1900,Athletics,Athletics,John Rimmer,ZZX,Men,5000m team men,Gold,1,0,0,John Rimmer (ZZX),Stanley Rowley (AUS),Gold
73,Paris (1900),1900,Athletics,Athletics,John Rimmer,ZZX,Men,5000m team men,Gold,1,0,0,John Rimmer (ZZX),Alfred Tysoe (GBR),Gold
74,Paris (1900),1900,Athletics,Athletics,Sidney Robinson,ZZX,Men,5000m team men,Gold,1,0,0,Sidney Robinson (ZZX),Charles Bennett (ZZX),Gold
75,Paris (1900),1900,Athletics,Athletics,Sidney Robinson,ZZX,Men,5000m team men,Gold,1,0,0,Sidney Robinson (ZZX),John Rimmer (ZZX),Gold
76,Paris (1900),1900,Athletics,Athletics,Sidney Robinson,ZZX,Men,5000m team men,Gold,1,0,0,Sidney Robinson (ZZX),Sidney Robinson (ZZX),Gold
77,Paris (1900),1900,Athletics,Athletics,Sidney Robinson,ZZX,Men,5000m team men,Gold,1,0,0,Sidney Robinson (ZZX),Stanley Rowley (AUS),Gold
78,Paris (1900),1900,Athletics,Athletics,Sidney Robinson,ZZX,Men,5000m team men,Gold,1,0,0,Sidney Robinson (ZZX),Alfred Tysoe (GBR),Gold
79,Paris (1900),1900,Athletics,Athletics,Stanley Rowley,AUS,Men,5000m team men,Gold,1,0,0,Stanley Rowley (AUS),Charles Bennett (ZZX),Gold
80,Paris (1900),1900,Athletics,Athletics,Stanley Rowley,AUS,Men,5000m team men,Gold,1,0,0,Stanley Rowley (AUS),John Rimmer (ZZX),Gold
81,Paris (1900),1900,Athletics,Athletics,Stanley Rowley,AUS,Men,5000m team men,Gold,1,0,0,Stanley Rowley (AUS),Sidney Robinson (ZZX),Gold
82,Paris (1900),1900,Athletics,Athletics,Stanley Rowley,AUS,Men,5000m team men,Gold,1,0,0,Stanley Rowley (AUS),Stanley Rowley (AUS),Gold
83,Paris (1900),1900,Athletics,Athletics,Stanley Rowley,AUS,Men,5000m team men,Gold,1,0,0,Stanley Rowley (AUS),Alfred Tysoe (GBR),Gold
84,Paris (1900),1900,Athletics,Athletics,Alfred Tysoe,GBR,Men,5000m team men,Gold,1,0,0,Alfred Tysoe (GBR),Charles Bennett (ZZX),Gold
85,Paris (1900),1900,Athletics,Athletics,Alfred Tysoe,GBR,Men,5000m team men,Gold,1,0,0,Alfred Tysoe (GBR),John Rimmer (ZZX),Gold
86,Paris (1900),1900,Athletics,Athletics,Alfred Tysoe,GBR,Men,5000m team men,Gold,1,0,0,Alfred Tysoe (GBR),Sidney Robinson (ZZX),Gold
87,Paris (1900),1900,Athletics,Athletics,Alfred Tysoe,GBR,Men,5000m team men,Gold,1,0,0,Alfred Tysoe (GBR),Stanley Rowley (AUS),Gold
88,Paris (1900),1900,Athletics,Athletics,Alfred Tysoe,GBR,Men,5000m team men,Gold,1,0,0,Alfred Tysoe (GBR),Alfred Tysoe (GBR),Gold
115,Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,USA,Men,60m men,Gold,1,0,0,Alvin Kraenzlein (USA),Alvin Kraenzlein (USA),Gold
118,Paris (1900),1900,Athletics,Athletics,Alfred Tysoe,GBR,Men,800m men,Gold,1,0,0,Alfred Tysoe (GBR),Alfred Tysoe (GBR),Gold
121,Paris (1900),1900,Athletics,Athletics,Rudolf Bauer,HUN,Men,discus throw men,Gold,1,0,0,Rudolf Bauer (HUN),Rudolf Bauer (HUN),Gold
124,Paris (1900),1900,Athletics,Athletics,John Jesus Flanagan,USA,Men,hammer throw men,Gold,1,0,0,John Jesus Flanagan (USA),John Jesus Flanagan (USA),Gold
127,Paris (1900),1900,Athletics,Athletics,Irving Baxter,USA,Men,high jump men,Gold,1,0,0,Irving Baxter (USA),Irving Baxter (USA),Gold
130,Paris (1900),1900,Athletics,Athletics,Ray Ewry,USA,Men,"high jump, standing men",Gold,1,0,0,Ray Ewry (USA),Ray Ewry (USA),Gold
133,Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,USA,Men,long jump men,Gold,1,0,0,Alvin Kraenzlein (USA),Alvin Kraenzlein (USA),Gold
136,Paris (1900),1900,Athletics,Athletics,Ray Ewry,USA,Men,"long jump, standing men",Gold,1,0,0,Ray Ewry (USA),Ray Ewry (USA),Gold
139,Paris (1900),1900,Athletics,Athletics,Michel Theato,FRA,Men,marathon men,Gold,1,0,0,Michel Theato (FRA),Michel Theato (FRA),Gold
142,Paris (1900),1900,Athletics,Athletics,Irving Baxter,USA,Men,pole vault men,Gold,1,0,0,Irving Baxter (USA),Irving Baxter (USA),Gold
145,Paris (1900),1900,Athletics,Athletics,Richard Sheldon,USA,Men,shot put men,Gold,1,0,0,Richard Sheldon (USA),Richard Sheldon (USA),Gold
148,Paris (1900),1900,Athletics,Athletics,Meyer Prinstein,USA,Men,triple jump men,Gold,1,0,0,Meyer Prinstein (USA),Meyer Prinstein (USA),Gold
151,Paris (1900),1900,Athletics,Athletics,Ray Ewry,USA,Men,"triple jump, standing men",Gold,1,0,0,Ray Ewry (USA),Ray Ewry (USA),Gold
154,St Louis (1904),1904,Athletics,Athletics,Archie Hahn,USA,Men,100m men,Gold,1,0,0,Archie Hahn (USA),Archie Hahn (USA),Gold
157,St Louis (1904),1904,Athletics,Athletics,Frederick Schule,USA,Men,110m hurdles men,Gold,1,0,0,Frederick Schule (USA),Frederick Schule (USA),Gold
160,St Louis (1904),1904,Athletics,Athletics,James Lightbody,USA,Men,1500m men,Gold,1,0,0,James Lightbody (USA),James Lightbody (USA),Gold
163,St Louis (1904),1904,Athletics,Athletics,Archie Hahn,USA,Men,200m men,Gold,1,0,0,Archie Hahn (USA),Archie Hahn (USA),Gold
166,St Louis (1904),1904,Athletics,Athletics,Harry Hillman,USA,Men,200m hurdles men,Gold,1,0,0,Harry Hillman (USA),Harry Hillman (USA),Gold
169,St Louis (1904),1904,Athletics,Athletics,James Lightbody,ZZX,Men,3000m steeplechase men,Gold,1,0,0,James Lightbody (ZZX),James Lightbody (ZZX),Gold
172,St Louis (1904),1904,Athletics,Athletics,Harry Hillman,USA,Men,400m men,Gold,1,0,0,Harry Hillman (USA),Harry Hillman (USA),Gold
175,St Louis (1904),1904,Athletics,Athletics,Harry Hillman,USA,Men,400m hurdles men,Gold,1,0,0,Harry Hillman (USA),Harry Hillman (USA),Gold
177,St Louis (1904),1904,Athletics,Athletics,David Curtis Munson,USA,Men,4miles team men,Gold,1,0,0,David Curtis Munson (USA),David Curtis Munson (USA),Gold
178,St Louis (1904),1904,Athletics,Athletics,David Curtis Munson,USA,Men,4miles team men,Gold,1,0,0,David Curtis Munson (USA),Arthur Newton (USA),Gold
179,St Louis (1904),1904,Athletics,Athletics,David Curtis Munson,USA,Men,4miles team men,Gold,1,0,0,David Curtis Munson (USA),Paul Harry Pilgrim (USA),Gold
180,St Louis (1904),1904,Athletics,Athletics,David Curtis Munson,USA,Men,4miles team men,Gold,1,0,0,David Curtis Munson (USA),George Underwood (USA),Gold
181,St Louis (1904),1904,Athletics,Athletics,David Curtis Munson,USA,Men,4miles team men,Gold,1,0,0,David Curtis Munson (USA),Howard Valentine (USA),Gold
182,St Louis (1904),1904,Athletics,Athletics,Arthur Newton,USA,Men,4miles team men,Gold,1,0,0,Arthur Newton (USA),David Curtis Munson (USA),Gold
183,St Louis (1904),1904,Athletics,Athletics,Arthur Newton,USA,Men,4miles team men,Gold,1,0,0,Arthur Newton (USA),Arthur Newton (USA),Gold
184,St Louis (1904),1904,Athletics,Athletics,Arthur Newton,USA,Men,4miles team men,Gold,1,0,0,Arthur Newton (USA),Paul Harry Pilgrim (USA),Gold
185,St Louis (1904),1904,Athletics,Athletics,Arthur Newton,USA,Men,4miles team men,Gold,1,0,0,Arthur Newton (USA),George Underwood (USA),Gold
186,St Louis (1904),1904,Athletics,Athletics,Arthur Newton,USA,Men,4miles team men,Gold,1,0,0,Arthur Newton (USA),Howard Valentine (USA),Gold
187,St Louis (1904),1904,Athletics,Athletics,Paul Harry Pilgrim,USA,Men,4miles team men,Gold,1,0,0,Paul Harry Pilgrim (USA),David Curtis Munson (USA),Gold
188,St Louis (1904),1904,Athletics,Athletics,Paul Harry Pilgrim,USA,Men,4miles team men,Gold,1,0,0,Paul Harry Pilgrim (USA),Arthur Newton (USA),Gold
189,St Louis (1904),1904,Athletics,Athletics,Paul Harry Pilgrim,USA,Men,4miles team men,Gold,1,0,0,Paul Harry Pilgrim (USA),Paul Harry Pilgrim (USA),Gold
190,St Louis (1904),1904,Athletics,Athletics,Paul Harry Pilgrim,USA,Men,4miles team men,Gold,1,0,0,Paul Harry Pilgrim (USA),George Underwood (USA),Gold
191,St Louis (1904),1904,Athletics,Athletics,Paul Harry Pilgrim,USA,Men,4miles team men,Gold,1,0,0,Paul Harry Pilgrim (USA),Howard Valentine (USA),Gold
192,St Louis (1904),1904,Athletics,Athletics,George Underwood,USA,Men,4miles team men,Gold,1,0,0,George Underwood (USA),David Curtis Munson (USA),Gold
193,St Louis (1904),1904,Athletics,Athletics,George Underwood,USA,Men,4miles team men,Gold,1,0,0,George Underwood (USA),Arthur Newton (USA),Gold
194,St Louis (1904),1904,Athletics,Athletics,George Underwood,USA,Men,4miles team men,Gold,1,0,0,George Underwood (USA),Paul Harry Pilgrim (USA),Gold
195,St Louis (1904),1904,Athletics,Athletics,George Underwood,USA,Men,4miles team men,Gold,1,0,0,George Underwood (USA),George Underwood (USA),Gold
196,St Louis (1904),1904,Athletics,Athletics,George Underwood,USA,Men,4miles team men,Gold,1,0,0,George Underwood (USA),Howard Valentine (USA),Gold
197,St Louis (1904),1904,Athletics,Athletics,Howard Valentine,USA,Men,4miles team men,Gold,1,0,0,Howard Valentine (USA),David Curtis Munson (USA),Gold
198,St Louis (1904),1904,Athletics,Athletics,Howard Valentine,USA,Men,4miles team men,Gold,1,0,0,Howard Valentine (USA),Arthur Newton (USA),Gold
199,St Louis (1904),1904,Athletics,Athletics,Howard Valentine,USA,Men,4miles team men,Gold,1,0,0,Howard Valentine (USA),Paul Harry Pilgrim (USA),Gold
200,St Louis (1904),1904,Athletics,Athletics,Howard Valentine,USA,Men,4miles team men,Gold,1,0,0,Howard Valentine (USA),George Underwood (USA),Gold
201,St Louis (1904),1904,Athletics,Athletics,Howard Valentine,USA,Men,4miles team men,Gold,1,0,0,Howard Valentine (USA),Howard Valentine (USA),Gold
228,St Louis (1904),1904,Athletics,Athletics,Etienne Desmarteau,CAN,Men,56lb weight throw (25.4kg) men,Gold,1,0,0,Etienne Desmarteau (CAN),Etienne Desmarteau (CAN),Gold
231,St Louis (1904),1904,Athletics,Athletics,Archie Hahn,USA,Men,60m men,Gold,1,0,0,Archie Hahn (USA),Archie Hahn (USA),Gold
234,St Louis (1904),1904,Athletics,Athletics,James Lightbody,USA,Men,800m men,Gold,1,0,0,James Lightbody (USA),James Lightbody (USA),Gold
237,St Louis (1904),1904,Athletics,Athletics,Thomas Francis Kiely,GBR,Men,decathlon men,Gold,1,0,0,Thomas Francis Kiely (GBR),Thomas Francis Kiely (GBR),Gold
240,St Louis (1904),1904,Athletics,Athletics,Martin Sheridan,USA,Men,discus throw men,Gold,1,0,0,Martin Sheridan (USA),Martin Sheridan (USA),Gold
243,St Louis (1904),1904,Athletics,Athletics,John Jesus Flanagan,USA,Men,hammer throw men,Gold,1,0,0,John Jesus Flanagan (USA),John Jesus Flanagan (USA),Gold
246,St Louis (1904),1904,Athletics,Athletics,Samuel Jones,USA,Men,high jump men,Gold,1,0,0,Samuel Jones (USA),Samuel Jones (USA),Gold
249,St Louis (1904),1904,Athletics,Athletics,Ray Ewry,USA,Men,"high jump, standing men",Gold,1,0,0,Ray Ewry (USA),Ray Ewry (USA),Gold
252,St Louis (1904),1904,Athletics,Athletics,Meyer Prinstein,USA,Men,long jump men,Gold,1,0,0,Meyer Prinstein (USA),Meyer Prinstein (USA),Gold
255,St Louis (1904),1904,Athletics,Athletics,Ray Ewry,USA,Men,"long jump, standing men",Gold,1,0,0,Ray Ewry (USA),Ray Ewry (USA),Gold
258,St Louis (1904),1904,Athletics,Athletics,Thomas Hicks,USA,Men,marathon men,Gold,1,0,0,Thomas Hicks (USA),Thomas Hicks (USA),Gold
261,St Louis (1904),1904,Athletics,Athletics,Charles Dvorak,USA,Men,pole vault men,Gold,1,0,0,Charles Dvorak (USA),Charles Dvorak (USA),Gold
264,St Louis (1904),1904,Athletics,Athletics,Ralph Rose,USA,Men,shot put men,Gold,1,0,0,Ralph Rose (USA),Ralph Rose (USA),Gold
267,St Louis (1904),1904,Athletics,Athletics,Max Emmerich,USA,Men,triathlon (long jump / shot put / 100 yards) men,Gold,1,0,0,Max Emmerich (USA),Max Emmerich (USA),Gold
270,St Louis (1904),1904,Athletics,Athletics,Meyer Prinstein,USA,Men,triple jump men,Gold,1,0,0,Meyer Prinstein (USA),Meyer Prinstein (USA),Gold
273,St Louis (1904),1904,Athletics,Athletics,Ray Ewry,USA,Men,"triple jump, standing men",Gold,1,0,0,Ray Ewry (USA),Ray Ewry (USA),Gold
276,London (1908),1908,Athletics,Athletics,Reginald Walker,RSA,Men,100m men,Gold,1,0,0,Reginald Walker (RSA),Reginald Walker (RSA),Gold
279,London (1908),1908,Athletics,Athletics,George Edward Larner,GBR,Men,10miles walk (16093m) men,Gold,1,0,0,George Edward Larner (GBR),George Edward Larner (GBR),Gold
282,London (1908),1908,Athletics,Athletics,Forrest Smithson,USA,Men,110m hurdles men,Gold,1,0,0,Forrest Smithson (USA),Forrest Smithson (USA),Gold
285,London (1908),1908,Athletics,Athletics,Melvin Sheppard,USA,Men,1500m men,Gold,1,0,0,Melvin Sheppard (USA),Melvin Sheppard (USA),Gold
288,London (1908),1908,Athletics,Athletics,Robert Kerr,CAN,Men,200m men,Gold,1,0,0,Robert Kerr (CAN),Robert Kerr (CAN),Gold
291,London (1908),1908,Athletics,Athletics,Arthur Russell,GBR,Men,3200m steeplechase men,Gold,1,0,0,Arthur Russell (GBR),Arthur Russell (GBR),Gold
294,London (1908),1908,Athletics,Athletics,George Edward Larner,GBR,Men,3500m walk men,Gold,1,0,0,George Edward Larner (GBR),George Edward Larner (GBR),Gold
305,London (1908),1908,Athletics,Athletics,William Coales,GBR,Men,3miles team (4828m) men,Gold,1,0,0,William Coales (GBR),William Coales (GBR),Gold
306,London (1908),1908,Athletics,Athletics,William Coales,GBR,Men,3miles team (4828m) men,Gold,1,0,0,William Coales (GBR),Joseph Edmund Deakin (GBR),Gold
307,London (1908),1908,Athletics,Athletics,William Coales,GBR,Men,3miles team (4828m) men,Gold,1,0,0,William Coales (GBR),Arthur James Robertson (GBR),Gold
308,London (1908),1908,Athletics,Athletics,Joseph Edmund Deakin,GBR,Men,3miles team (4828m) men,Gold,1,0,0,Joseph Edmund Deakin (GBR),William Coales (GBR),Gold
309,London (1908),1908,Athletics,Athletics,Joseph Edmund Deakin,GBR,Men,3miles team (4828m) men,Gold,1,0,0,Joseph Edmund Deakin (GBR),Joseph Edmund Deakin (GBR),Gold
310,London (1908),1908,Athletics,Athletics,Joseph Edmund Deakin,GBR,Men,3miles team (4828m) men,Gold,1,0,0,Joseph Edmund Deakin (GBR),Arthur James Robertson (GBR),Gold
311,London (1908),1908,Athletics,Athletics,Arthur James Robertson,GBR,Men,3miles team (4828m) men,Gold,1,0,0,Arthur James Robertson (GBR),William Coales (GBR),Gold
312,London (1908),1908,Athletics,Athletics,Arthur James Robertson,GBR,Men,3miles team (4828m) men,Gold,1,0,0,Arthur James Robertson (GBR),Joseph Edmund Deakin (GBR),Gold
313,London (1908),1908,Athletics,Athletics,Arthur James Robertson,GBR,Men,3miles team (4828m) men,Gold,1,0,0,Arthur James Robertson (GBR),Arthur James Robertson (GBR),Gold
323,London (1908),1908,Athletics,Athletics,Wyndham Halswelle,GBR,Men,400m men,Gold,1,0,0,Wyndham Halswelle (GBR),Wyndham Halswelle (GBR),Gold
325,London (1908),1908,Athletics,Athletics,Charles Joseph Bacon,USA,Men,400m hurdles men,Gold,1,0,0,Charles Joseph Bacon (USA),Charles Joseph Bacon (USA),Gold
343,London (1908),1908,Athletics,Athletics,John Nathaniel Cartmell,USA,Men,4x400m relay men,Gold,1,0,0,John Nathaniel Cartmell (USA),John Nathaniel Cartmell (USA),Gold
344,London (1908),1908,Athletics,Athletics,John Nathaniel Cartmell,USA,Men,4x400m relay men,Gold,1,0,0,John Nathaniel Cartmell (USA),William Frank Hamilton (USA),Gold
345,London (1908),1908,Athletics,Athletics,John Nathaniel Cartmell,USA,Men,4x400m relay men,Gold,1,0,0,John Nathaniel Cartmell (USA),Melvin Sheppard (USA),Gold
346,London (1908),1908,Athletics,Athletics,John Nathaniel Cartmell,USA,Men,4x400m relay men,Gold,1,0,0,John Nathaniel Cartmell (USA),John Baxter Taylor (USA),Gold
347,London (1908),1908,Athletics,Athletics,William Frank Hamilton,USA,Men,4x400m relay men,Gold,1,0,0,William Frank Hamilton (USA),John Nathaniel Cartmell (USA),Gold
348,London (1908),1908,Athletics,Athletics,William Frank Hamilton,USA,Men,4x400m relay men,Gold,1,0,0,William Frank Hamilton (USA),William Frank Hamilton (USA),Gold
349,London (1908),1908,Athletics,Athletics,William Frank Hamilton,USA,Men,4x400m relay men,Gold,1,0,0,William Frank Hamilton (USA),Melvin Sheppard (USA),Gold
350,London (1908),1908,Athletics,Athletics,William Frank Hamilton,USA,Men,4x400m relay men,Gold,1,0,0,William Frank Hamilton (USA),John Baxter Taylor (USA),Gold
351,London (1908),1908,Athletics,Athletics,Melvin Sheppard,USA,Men,4x400m relay men,Gold,1,0,0,Melvin Sheppard (USA),John Nathaniel Cartmell (USA),Gold
352,London (1908),1908,Athletics,Athletics,Melvin Sheppard,USA,Men,4x400m relay men,Gold,1,0,0,Melvin Sheppard (USA),William Frank Hamilton (USA),Gold
353,London (1908),1908,Athletics,Athletics,Melvin Sheppard,USA,Men,4x400m relay men,Gold,1,0,0,Melvin Sheppard (USA),Melvin Sheppard (USA),Gold
354,London (1908),1908,Athletics,Athletics,Melvin Sheppard,USA,Men,4x400m relay men,Gold,1,0,0,Melvin Sheppard (USA),John Baxter Taylor (USA),Gold
355,London (1908),1908,Athletics,Athletics,John Baxter Taylor,USA,Men,4x400m relay men,Gold,1,0,0,John Baxter Taylor (USA),John Nathaniel Cartmell (USA),Gold
356,London (1908),1908,Athletics,Athletics,John Baxter Taylor,USA,Men,4x400m relay men,Gold,1,0,0,John Baxter Taylor (USA),William Frank Hamilton (USA),Gold
357,London (1908),1908,Athletics,Athletics,John Baxter Taylor,USA,Men,4x400m relay men,Gold,1,0,0,John Baxter Taylor (USA),Melvin Sheppard (USA),Gold
358,London (1908),1908,Athletics,Athletics,John Baxter Taylor,USA,Men,4x400m relay men,Gold,1,0,0,John Baxter Taylor (USA),John Baxter Taylor (USA),Gold
376,London (1908),1908,Athletics,Athletics,Emil Robert Voigt,GBR,Men,5 miles (8047m) men,Gold,1,0,0,Emil Robert Voigt (GBR),Emil Robert Voigt (GBR),Gold
379,London (1908),1908,Athletics,Athletics,Melvin Sheppard,USA,Men,800m men,Gold,1,0,0,Melvin Sheppard (USA),Melvin Sheppard (USA),Gold
382,London (1908),1908,Athletics,Athletics,Martin Sheridan,USA,Men,discus throw men,Gold,1,0,0,Martin Sheridan (USA),Martin Sheridan (USA),Gold
385,London (1908),1908,Athletics,Athletics,Martin Sheridan,USA,Men,discus throw ancient style men,Gold,1,0,0,Martin Sheridan (USA),Martin Sheridan (USA),Gold
388,London (1908),1908,Athletics,Athletics,John Jesus Flanagan,USA,Men,hammer throw men,Gold,1,0,0,John Jesus Flanagan (USA),John Jesus Flanagan (USA),Gold
390,London (1908),1908,Athletics,Athletics,Harry Franklin Porter,USA,Men,high jump men,Gold,1,0,0,Harry Franklin Porter (USA),Harry Franklin Porter (USA),Gold
394,London (1908),1908,Athletics,Athletics,Ray Ewry,USA,Men,"high jump, standing men",Gold,1,0,0,Ray Ewry (USA),Ray Ewry (USA),Gold
398,London (1908),1908,Athletics,Athletics,Eric Lemming,SWE,Men,javelin throw men,Gold,1,0,0,Eric Lemming (SWE),Eric Lemming (SWE),Gold
401,London (1908),1908,Athletics,Athletics,Eric Lemming,SWE,Men,javelin throw freestyle men,Gold,1,0,0,Eric Lemming (SWE),Eric Lemming (SWE),Gold
404,London (1908),1908,Athletics,Athletics,Francis C. Irons,USA,Men,long jump men,Gold,1,0,0,Francis C. Irons (USA),Francis C. Irons (USA),Gold
407,London (1908),1908,Athletics,Athletics,Ray Ewry,USA,Men,"long jump, standing men",Gold,1,0,0,Ray Ewry (USA),Ray Ewry (USA),Gold
410,London (1908),1908,Athletics,Athletics,John Joseph Hayes,USA,Men,marathon men,Gold,1,0,0,John Joseph Hayes (USA),John Joseph Hayes (USA),Gold
418,London (1908),1908,Athletics,Athletics,Edward Tiffin Cooke,USA,Men,pole vault men,Gold,1,0,0,Edward Tiffin Cooke (USA),Edward Tiffin Cooke (USA),Gold
419,London (1908),1908,Athletics,Athletics,Edward Tiffin Cooke,USA,Men,pole vault men,Gold,1,0,0,Edward Tiffin Cooke (USA),Alfred Carleten Gilbert (USA),Gold
420,London (1908),1908,Athletics,Athletics,Alfred Carleten Gilbert,USA,Men,pole vault men,Gold,1,0,0,Alfred Carleten Gilbert (USA),Edward Tiffin Cooke (USA),Gold
421,London (1908),1908,Athletics,Athletics,Alfred Carleten Gilbert,USA,Men,pole vault men,Gold,1,0,0,Alfred Carleten Gilbert (USA),Alfred Carleten Gilbert (USA),Gold
423,London (1908),1908,Athletics,Athletics,Ralph Rose,USA,Men,shot put men,Gold,1,0,0,Ralph Rose (USA),Ralph Rose (USA),Gold
426,London (1908),1908,Athletics,Athletics,Timoty J. Ahearne,GBR,Men,triple jump men,Gold,1,0,0,Timoty J. Ahearne (GBR),Timoty J. Ahearne (GBR),Gold
429,Stockholm (1912),1912,Athletics,Athletics,Hannes Kolehmainen,FIN,Men,10000m men,Gold,1,0,0,Hannes Kolehmainen (FIN),Hannes Kolehmainen (FIN),Gold
432,Stockholm (1912),1912,Athletics,Athletics,George Goulding,CAN,Men,10000m walk men,Gold,1,0,0,George Goulding (CAN),George Goulding (CAN),Gold
435,Stockholm (1912),1912,Athletics,Athletics,Ralph Craig,USA,Men,100m men,Gold,1,0,0,Ralph Craig (USA),Ralph Craig (USA),Gold
438,Stockholm (1912),1912,Athletics,Athletics,Frederick Kelly,USA,Men,110m hurdles men,Gold,1,0,0,Frederick Kelly (USA),Frederick Kelly (USA),Gold
441,Stockholm (1912),1912,Athletics,Athletics,Arnold Jackson,GBR,Men,1500m men,Gold,1,0,0,Arnold Jackson (GBR),Arnold Jackson (GBR),Gold
444,Stockholm (1912),1912,Athletics,Athletics,Ralph Craig,USA,Men,200m men,Gold,1,0,0,Ralph Craig (USA),Ralph Craig (USA),Gold
